Date,SIM-KS10 KLİMA,Interval Total
2022-05-08,858.546192000154,858.546192000154
2022-05-09,886.24122999981,886.24122999981
2022-05-10,886.241230000043,886.241230000043
2022-05-11,886.241232000524,886.241232000524
2022-05-12,886.24122899957,886.24122899957
2022-05-13,883.164005000144,883.164005000144
2022-05-14,886.241230000043,886.241230000043
2022-05-15,886.24122999981,886.24122999981
2022-05-16,877.009552000323,877.009552000323
2022-05-17,886.24122999981,886.24122999981
2022-05-18,886.241230999818,886.241230999818
2022-05-19,886.241231000051,886.241231000051
2022-05-20,886.241229000036,886.241229000036
2022-05-21,886.241231000051,886.241231000051
2022-05-22,886.241231999826,886.241231999826
2022-05-23,886.241230000276,886.241230000276
2022-05-24,886.241229000036,886.241229000036
2022-05-25,886.241231999826,886.241231999826
2022-05-26,883.164003000362,883.164003000362
2022-05-27,886.241230999818,886.241230999818
2022-05-28,886.24122999981,886.24122999981
2022-05-29,886.241230999818,886.241230999818
2022-05-30,886.241232000524,886.241232000524
2022-05-31,883.164001999889,883.164001999889
2022-06-01,886.241231999826,886.241231999826
2022-06-02,886.241230000276,886.241230000276
2022-06-03,880.08677699999,880.08677699999
2022-06-04,886.241230999585,886.241230999585
2022-06-05,886.241230000276,886.241230000276
2022-06-06,886.241230999818,886.241230999818
2022-06-07,886.241230000043,886.241230000043
2022-06-08,883.164004000369,883.164004000369
2022-06-09,886.241230999585,886.241230999585
2022-06-10,886.241230000043,886.241230000043
2022-06-11,886.241230999818,886.241230999818
2022-06-12,886.241230000509,886.241230000509
2022-06-13,880.086777999764,880.086777999764
2022-06-14,886.24122999981,886.24122999981
2022-06-15,883.164005000144,883.164005000144
2022-06-16,883.164002999896,883.164002999896
2022-06-17,886.241231000284,886.241231000284
2022-06-18,886.241231000051,886.241231000051
2022-06-19,886.241230999585,886.241230999585
2022-06-20,886.241229000036,886.241229000036
2022-06-21,886.241231000284,886.241231000284
2022-06-22,883.164003999671,883.164003999671
2022-06-23,886.241231000284,886.241231000284
2022-06-24,886.241230999585,886.241230999585
2022-06-25,886.241230000509,886.241230000509
2022-06-26,886.241229999578,886.241229999578
2022-06-27,886.241231000517,886.241231000517
2022-06-28,886.241229999345,886.241229999345
2022-06-29,886.241231000284,886.241231000284
2022-06-30,886.241231000051,886.241231000051
2022-07-01,883.164003999904,883.164003999904
2022-07-02,883.164004000137,883.164004000137
2022-07-03,886.24122999981,886.24122999981
2022-07-04,886.241231000284,886.241231000284
2022-07-05,886.241230000276,886.241230000276
2022-07-06,886.241229999578,886.241229999578
2022-07-07,886.241230999818,886.241230999818
2022-07-08,886.241232000059,886.241232000059
2022-07-09,886.241228000261,886.241228000261
2022-07-10,886.241231000051,886.241231000051
2022-07-11,886.241230999585,886.241230999585
2022-07-12,837.005608000094,837.005608000094
2022-07-13,864.700643999968,864.700643999968
2022-07-14,886.241230000043,886.241230000043
2022-07-15,886.241231000051,886.241231000051
2022-07-16,886.241231000284,886.241231000284
2022-07-17,886.241229999578,886.241229999578
2022-07-18,886.241230000509,886.241230000509
2022-07-19,883.164004999446,883.164004999446
2022-07-20,886.241230000509,886.241230000509
