Date,SIM-KS10 UDP,Interval Total
2022-05-28,2390.96996699972,2390.96996699972
2022-05-29,2390.96996800043,2390.96996800043
2022-05-30,2390.96996899974,2390.96996899974
2022-05-31,2382.66798799997,2382.66798799997
2022-06-01,2390.96996800043,2390.96996800043
2022-06-02,2390.96996899974,2390.96996899974
2022-06-03,2374.36601,2374.36601
2022-06-04,2390.96996799996,2390.96996799996
2022-06-05,2390.96996799996,2390.96996799996
2022-06-06,2390.96996699972,2390.96996699972
2022-06-07,2390.96996900067,2390.96996900067
2022-06-08,2382.66798799951,2382.66798799951
2022-06-09,2390.9699690002,2390.9699690002
2022-06-10,2390.96996799996,2390.96996799996
2022-06-11,2390.96996799996,2390.96996799996
2022-06-12,2390.96996799996,2390.96996799996
2022-06-13,2374.36601,2374.36601
2022-06-14,2390.96996799996,2390.96996799996
2022-06-15,2382.66798900021,2382.66798900021
2022-06-16,2382.66798899975,2382.66798899975
2022-06-17,2390.96996799996,2390.96996799996
2022-06-18,2390.96996800043,2390.96996800043
2022-06-19,2390.96996899974,2390.96996899974
2022-06-20,2390.96996700019,2390.96996700019
2022-06-21,2390.96996799996,2390.96996799996
2022-06-22,2382.66798999999,2382.66798999999
2022-06-23,2390.96996700019,2390.96996700019
2022-06-24,2390.9699679995,2390.9699679995
2022-06-25,2390.9699690002,2390.9699690002
2022-06-26,2390.96996799996,2390.96996799996
2022-06-27,2390.96996699972,2390.96996699972
2022-06-28,2390.96996800043,2390.96996800043
2022-06-29,2390.96996899974,2390.96996899974
2022-06-30,2390.96996799996,2390.96996799996
2022-07-01,2382.66798800044,2382.66798800044
2022-07-02,2382.66798999999,2382.66798999999
2022-07-03,2390.96996699972,2390.96996699972
2022-07-04,2390.9699690002,2390.9699690002
2022-07-05,2390.96996799996,2390.96996799996
2022-07-06,2390.96996799996,2390.96996799996
2022-07-07,2390.96996699972,2390.96996699972
2022-07-08,2390.9699690002,2390.9699690002
2022-07-09,2390.96996799996,2390.96996799996
2022-07-10,2390.96996799996,2390.96996799996
2022-07-11,2390.96996899974,2390.96996899974
2022-07-12,2258.13830200071,2258.13830200071
2022-07-13,2332.85611399962,2332.85611399962
2022-07-14,2390.9699690002,2390.9699690002
2022-07-15,2390.96996799996,2390.96996799996
2022-07-16,2390.96996799996,2390.96996799996
2022-07-17,2390.96996899974,2390.96996899974
2022-07-18,2390.96996700019,2390.96996700019
2022-07-19,2382.66798899975,2382.66798899975
2022-07-20,2390.9699690002,2390.9699690002
2022-07-21,2390.96996699972,2390.96996699972
2022-07-22,2390.96996800043,2390.96996800043
2022-07-23,2390.96996899974,2390.96996899974
2022-07-24,1950.96507800044,1950.96507800044
2022-07-25,2390.96996699972,2390.96996699972
2022-07-26,2390.96996799996,2390.96996799996
2022-07-27,2390.9699690002,2390.9699690002
2022-07-28,2390.9699679995,2390.9699679995
2022-07-29,2390.96996800043,2390.96996800043
2022-07-30,2382.66798899975,2382.66798899975
2022-07-31,2390.96996799996,2390.96996799996
2022-08-01,2390.96996700019,2390.96996700019
2022-08-02,2390.96996899974,2390.96996899974
2022-08-03,2382.66798900021,2382.66798900021
2022-08-04,2390.96996700019,2390.96996700019
2022-08-05,2390.96996899974,2390.96996899974
2022-08-06,2390.96996800043,2390.96996800043
2022-08-07,2390.96996799996,2390.96996799996
2022-08-08,2390.96996899974,2390.96996899974
2022-08-09,2390.96996700019,2390.96996700019
2022-08-10,2390.9699679995,2390.9699679995
2022-08-11,2390.96996800043,2390.96996800043
2022-08-12,2390.96996899974,2390.96996899974
2022-08-13,2390.96996700019,2390.96996700019
2022-08-14,2390.96996799996,2390.96996799996
2022-08-15,2390.96996799996,2390.96996799996
2022-08-16,2390.9699690002,2390.9699690002
2022-08-17,2390.96996799996,2390.96996799996
2022-08-18,2390.96996700019,2390.96996700019
2022-08-19,2390.96996899974,2390.96996899974
2022-08-20,2390.96996799996,2390.96996799996
2022-08-21,2382.66798799997,2382.66798799997
2022-08-22,2390.9699690002,2390.9699690002
2022-08-23,2390.9699679995,2390.9699679995
2022-08-24,2382.66798900068,2382.66798900068
2022-08-25,2390.9699679995,2390.9699679995
2022-08-26,2390.96996799996,2390.96996799996
2022-08-27,2390.96996800043,2390.96996800043
2022-08-28,2390.9699679995,2390.9699679995
2022-08-29,2390.96996800043,2390.96996800043
2022-08-30,2390.96996799996,2390.96996799996
2022-08-31,2390.9699679995,2390.9699679995
2022-09-01,2390.96996900067,2390.96996900067
2022-09-02,2390.96996699972,2390.96996699972
2022-09-03,2390.96996799996,2390.96996799996
2022-09-04,2390.9699690002,2390.9699690002
2022-09-05,2382.66798799951,2382.66798799951
2022-09-06,2390.96996800043,2390.96996800043
2022-09-07,2390.96996899974,2390.96996899974
2022-09-08,2390.96996799996,2390.96996799996
2022-09-09,2390.96996700019,2390.96996700019
2022-09-10,2390.96996799996,2390.96996799996
2022-09-11,2390.9699690002,2390.9699690002
2022-09-12,2390.96996799996,2390.96996799996
2022-09-13,2390.96996699972,2390.96996699972
2022-09-14,2390.9699690002,2390.9699690002
2022-09-15,2374.36600899976,2374.36600899976
2022-09-16,2382.66799000045,2382.66799000045
2022-09-17,2390.96996699972,2390.96996699972
2022-09-18,2390.9699690002,2390.9699690002
2022-09-19,2390.9699679995,2390.9699679995
2022-09-20,2390.96996800043,2390.96996800043
2022-09-21,2390.96996799996,2390.96996799996
2022-09-22,2390.96996799996,2390.96996799996
2022-09-23,2390.96996799996,2390.96996799996
2022-09-24,2390.96996799996,2390.96996799996
2022-09-25,2390.9699690002,2390.9699690002
2022-09-26,2390.96996699972,2390.96996699972
2022-09-27,2390.96996800043,2390.96996800043
2022-09-28,2390.9699679995,2390.9699679995
2022-09-29,2390.9699690002,2390.9699690002
2022-09-30,2390.96996799996,2390.96996799996
2022-10-01,2390.96996700019,2390.96996700019
2022-10-02,2390.96996799996,2390.96996799996
2022-10-03,2382.66798999999,2382.66798999999
2022-10-04,2390.96996699972,2390.96996699972
2022-10-05,2390.9699690002,2390.9699690002
2022-10-06,2390.96996799996,2390.96996799996
2022-10-07,2390.96996799996,2390.96996799996
2022-10-08,2390.96996700019,2390.96996700019
2022-10-09,2390.9699690002,2390.9699690002
2022-10-10,2390.96996799996,2390.96996799996
2022-10-11,2390.9699679995,2390.9699679995
2022-10-12,2390.96996799996,2390.96996799996
2022-10-13,2390.96996799996,2390.96996799996
2022-10-14,2390.96996800043,2390.96996800043
2022-10-15,2390.96996799996,2390.96996799996
2022-10-16,2390.96996899974,2390.96996899974
2022-10-17,2390.96996700019,2390.96996700019
2022-10-18,2390.96996799996,2390.96996799996
2022-10-19,2390.96996800043,2390.96996800043
2022-10-20,2390.96996899974,2390.96996899974
2022-10-21,2390.96996799996,2390.96996799996
2022-10-22,2390.96996699972,2390.96996699972
2022-10-23,2382.66799000045,2382.66799000045
2022-10-24,2390.9699679995,2390.9699679995
2022-10-25,2390.96996700019,2390.96996700019
2022-10-26,2390.96996899974,2390.96996899974
2022-10-27,2390.96996800043,2390.96996800043
2022-10-28,2390.96996799996,2390.96996799996
2022-10-29,2390.96996700019,2390.96996700019
2022-10-30,2390.96996899974,2390.96996899974
2022-10-31,2390.96996799996,2390.96996799996
2022-11-01,2390.96996800043,2390.96996800043
