Timestamp,PUE,I_KOMP1_HIZ,II_KOMP1_HIZ,III_KOMP1_HIZ,IV_KOMP1_HIZ,CH1_CIKIS_SIC,CH1_GIRIS_SIC,CH2_CIKIS_SIC,CH2_GIRIS_SIC,CH3_CIKIS_SIC,CH3_GIRIS_SIC,SENSOR_I_TEMP,SENSOR_II_TEMP,OUTLET_TEMP,OUTLET_HUMIDITY,KS10_UDP_TUKETIM,Mon,Tue,Wed,Thu,Fri,Sat,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,KS10_REAL_PUE,KS10_REAL_CH1_CIKIS_SIC,KS10_REAL_CH1_GIRIS_SIC,KS10_REAL_CH2_CIKIS_SIC,KS10_REAL_CH2_GIRIS_SIC,KS10_REAL_CH3_CIKIS_SIC,KS10_REAL_CH3_GIRIS_SIC,KS10_REAL_OUTLET_TEMP,KS10_REAL_OUTLET_HUMIDITY,KS10_REAL_KS10_UDP_TUKETIM,solved_for_first_timestamp
2023-10-18 12:45:00,1.5193749923428577,40.41091128442661,40.41091128442661,40.41091128442661,40.41091128442661,24.248336256821624,27.303961691334504,20.462562505453285,72.32233698902547,17.0984100775241,17.902256355464242,17.99479301613551,18.819912873508827,18.2000007629395,18.5,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.76229155063629,21.2459,28.1817,17.6955,63.556873,18.8999996185303,18.2999992370605,18.2000007629395,18.5,3.5,1
2023-10-18 12:50:00,1.5700697755322024,47.81300747335451,47.81300747335451,47.81300747335451,47.81300747335451,24.248336256821624,27.303961691334504,20.462561919961967,72.32233698902547,17.0984100775241,17.902256355464242,18.0563146130254,18.803236678451054,18.2000007629395,18.5,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.60564875602722,21.2459,28.1817,17.6955,63.556873,18.8999996185303,18.6000003814697,18.2000007629395,18.5,3.125,1
2023-10-18 12:55:00,1.4970562775733645,36.919993995071216,36.919993995071216,36.919993995071216,36.919993995071216,24.248336256821624,27.303961691334504,20.46256133498937,72.32233698902547,17.0984100775241,17.902256355464242,17.96585152591284,18.82778266191925,18.2000007629395,18.5,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.81761014461517,21.2459,28.1817,17.6955,63.556873,18.8999996185303,18.6000003814697,18.2000007629395,18.5,4.5,1
2023-10-18 13:00:00,1.5433878837126935,43.5194429216902,43.5194429216902,43.5194429216902,43.5194429216902,24.248336256821624,27.303961691334504,20.46256075053504,72.32233698902547,17.0984100775241,17.902256355464242,17.799579951193962,18.825531630683315,18.5,18.5,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.66985440254211,21.0017,28.2793,17.6955,63.556873,18.8999996185303,18.6000003814697,18.5,18.5,2.75,1
2023-10-18 13:05:00,1.441818311541044,28.24379540622948,28.24379540622948,28.24379540622948,28.24379540622948,24.248336256821624,27.303961691334504,20.462560166598514,72.32233698902547,17.0984100775241,17.902256355464242,19.420231413701668,18.52832814914189,15.5,18.2000007629395,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.7629166841507,21.0017,28.2793,17.6955,63.556873,18.2999992370605,17.7000007629395,15.5,18.2000007629395,4.375,1
2023-10-18 13:10:00,1.4978583099130471,36.55079405512051,36.55079405512051,36.55079405512051,36.55079405512051,24.248336256821624,27.303961691334504,20.46255958317933,72.32233698902547,17.0984100775241,17.902256355464242,17.881365905141408,18.597023147578906,17.6000003814697,18.2000007629395,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.63665246963501,21.0017,28.2793,17.6955,63.556873,18.0,17.7000007629395,17.6000003814697,18.2000007629395,2.875,1
2023-10-18 13:15:00,1.468681285738666,31.587362362408125,31.587362362408125,31.587362362408125,31.587362362408125,24.248336256821624,27.303961691334504,20.462559000277032,72.32233698902547,17.0984100775241,17.902256355464242,17.6216751255184,18.62056736782163,17.8999996185303,18.2000007629395,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.75539112091064,21.0506,28.2793,17.6955,63.556873,18.2999992370605,18.0,17.8999996185303,18.2000007629395,4.625,1
2023-10-18 13:20:00,1.5389440782681896,43.03170672601908,43.03170672601908,43.03170672601908,43.03170672601908,24.248336256821624,27.303961691334504,20.462558417891167,72.32233698902547,17.0984100775241,17.902256355464242,18.016551553230418,18.81400669052616,18.2000007629395,18.5,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.68930816650391,21.0506,28.2793,17.6955,63.556873,18.6000003814697,18.0,18.2000007629395,18.5,2.875,1
2023-10-18 13:25:00,1.439595920669495,26.81483588239557,26.81483588239557,26.81483588239557,24.13335229415601,24.248336256821624,27.303961691334504,20.462557836021272,72.32233698902547,17.0984100775241,17.902256355464242,17.35574450328632,18.64825397758433,18.2000007629395,18.2000007629395,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.50817608833313,21.0506,28.2793,17.6955,63.556873,18.6000003814697,18.0,18.2000007629395,18.2000007629395,4.125,1
2023-10-18 13:30:00,1.4675409521597618,31.23139708655484,31.23139708655484,31.23139708655484,31.23139708655484,24.248336256821624,27.303961691334504,20.46255725466689,72.32233698902547,17.0984100775241,17.902256355464242,17.402686416602805,18.633856512558555,18.2000007629395,18.2000007629395,4.046274687244291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.67348635196686,20.9041,28.4746,17.2955,73.65372,18.6000003814697,18.0,18.2000007629395,18.2000007629395,3.0,1
